sh600061	中纺投资
sh600063	皖维高新
sh600527	江南高纤
sh600810	神马股份
sh600871	*ST仪化
sh600889	南京化纤
sh601113	华鼎股份
sh601233	桐昆股份
sz000420	吉林化纤
sz000584	友利控股
sz000615	湖北金环
sz000677	恒天海龙
sz000687	恒天天鹅
sz000703	恒逸石化
sz000782	美达股份
sz000936	华西股份
sz000949	新乡化纤
sz000976	春晖股份
sz002015	*ST霞客
sz002064	华峰氨纶
sz002080	中材科技
sz002172	澳洋科技
sz002206	海利得
sz002254	泰和新材
sz002427	尤夫股份
sz002493	荣盛石化
sz300180	华峰超纤
