sh600217	秦岭水泥
sh600291	西水股份
sh600318	巢东股份
sh600425	青松建化
sh600449	宁夏建材
sh600539	狮头股份
sh600585	海螺水泥
sh600668	尖峰集团
sh600678	四川金顶
sh600720	祁连山
sh600801	华新水泥
sh600802	福建水泥
sh600881	亚泰集团
sh600883	博闻科技
sh601992	金隅股份
sz000401	冀东水泥
sz000672	上峰水泥
sz000789	万年青
sz000877	天山股份
sz000885	同力水泥
sz000935	四川双马
sz002233	塔牌集团
sz002302	西部建设
sz002346	柘中建设
sz002619	巨龙管业
