sh600060	海信电器
sh600234	山水文化
sh600261	阳光照明
sh600336	澳柯玛
sh600690	青岛海尔
sh600839	四川长虹
sh600854	春兰股份
sh600870	厦华电子
sh600983	惠而浦
sh603366	日出东方
sz000016	深康佳Ａ
sz000100	TCL集团
sz000333	美的集团
sz000418	小天鹅Ａ
sz000521	美菱电器
sz000533	万家乐
sz000541	佛山照明
sz000651	格力电器
sz000921	海信科龙
sz002005	德豪润达
sz002032	苏泊尔
sz002035	华帝股份
sz002076	雪莱特
sz002242	九阳股份
sz002260	伊立浦
sz002290	禾盛新材
sz002403	爱仕达
sz002429	兆驰股份
sz002473	圣莱达
sz002508	老板电器
sz002543	万和电气
sz002668	奥马电器
sz002677	浙江美大
sz002681	奋达科技
