sh600054	黄山旅游
sh600138	中青旅
sh600258	首旅酒店
sh600358	国旅联合
sh600555	九龙山
sh600576	万好万家
sh600593	大连圣亚
sh600640	号百控股
sh600706	曲江文旅
sh600749	西藏旅游
sh600754	锦江股份
sh601007	金陵饭店
sh601888	中国国旅
sz000007	零七股份
sz000033	*ST新都
sz000069	华侨城Ａ
sz000428	华天酒店
sz000430	张家界
sz000524	东方宾馆
sz000610	西安旅游
sz000613	大东海A
sz000721	西安饮食
sz000802	北京文化
sz000888	峨眉山Ａ
sz000978	桂林旅游
sz002033	丽江旅游
sz002059	云南旅游
sz002159	三特索道
sz002186	全聚德
sz002306	中科云网
sz002558	世纪游轮
sz300144	宋城演艺
sz300178	腾邦国际
