sh600059	古越龙山
sh600084	中葡股份
sh600090	啤酒花
sh600132	重庆啤酒
sh600197	伊力特
sh600199	金种子酒
sh600238	海南椰岛
sh600365	通葡股份
sh600519	贵州茅台
sh600543	莫高股份
sh600559	老白干酒
sh600573	惠泉啤酒
sh600600	青岛啤酒
sh600616	金枫酒业
sh600702	沱牌舍得
sh600779	水井坊
sh600809	山西汾酒
sz000557	*ST广夏
sz000568	泸州老窖
sz000596	古井贡酒
sz000729	燕京啤酒
sz000752	西藏发展
sz000799	酒鬼酒
sz000858	五粮液
sz000869	张裕Ａ
sz000929	兰州黄河
sz000995	皇台酒业
sz002304	洋河股份
sz002461	珠江啤酒
sz002646	青青稞酒
