sh600051	宁波联合
sh600209	罗顿发展
sh600212	江泉实业
sh600256	广汇能源
sh600603	大洲兴业
sh600614	鼎立股份
sh600620	天宸股份
sh600622	嘉宝集团
sh600624	复旦复华
sh600647	同达创业
sh600656	博元投资
sh600687	刚泰控股
sh600701	工大高新
sh600708	海博股份
sh600730	中国高科
sh600770	综艺股份
sh600777	新潮实业
sh600800	天津磁卡
sh600805	悦达投资
sh600811	东方集团
sh600832	东方明珠
sh600846	同济科技
sh600892	宝诚股份
sz000008	宝利来
sz000301	东方市场
sz000576	广东甘化
sz000632	三木集团
sz000633	合金投资
sz000652	泰达股份
sz000701	厦门信达
sz000839	中信国安
sz000881	大连国际
sz000909	数源科技
